question,answer,relevant_text,title,publication_date,inventor
What is good about the utility model?,The utility model has a simple structure that is easy to assemble and disassemble.,"Water path manifold structure of hydrogen energy automobile electric pileThe utility model discloses a hydrogen energy source car pile water route manifold structure, including the mounting panel, be provided with evenly distributed&#39;s through hole on the mounting panel, every all be provided with corresponding positioning bolt in the through hole, the mounting panel upside is provided with horizontal inlet tube, inlet tube one end is provided with the cover of intaking, and the fixed intercommunication of the one end that the cover of intaking was kept away from to the inlet tube has vertical pipe, be provided with multiunit evenly distributed&#39;s mating holes on the mounting panel, and vertical pipe downside wall fixed intercommunication has the outlet pipe that matches with the mating holes, every the outlet pipe is kept away from the one end of vertical pipe and all runs through the housing outlet that mating holes fixedly connected with corresponds downwards, the housing and the housing outlet outside of intaking all are provided with the clamping ring that corresponds. The utility model effectively solves the problems; the volume leads to the fixed not firm emergence of manifold structure to slide scheduling problem because the production of error in the production course of working, simple structure, and is easy and simple to handle, conveniently dismantles and changes the manifold structure.",Water path manifold structure of hydrogen energy automobile electric pile,20211126,['ZHANG BIYONG']
What is facilitated by the utility model?,Convenient dismantling and changing of the manifold structure.,"Water path manifold structure of hydrogen energy automobile electric pileThe utility model discloses a hydrogen energy source car pile water route manifold structure, including the mounting panel, be provided with evenly distributed&#39;s through hole on the mounting panel, every all be provided with corresponding positioning bolt in the through hole, the mounting panel upside is provided with horizontal inlet tube, inlet tube one end is provided with the cover of intaking, and the fixed intercommunication of the one end that the cover of intaking was kept away from to the inlet tube has vertical pipe, be provided with multiunit evenly distributed&#39;s mating holes on the mounting panel, and vertical pipe downside wall fixed intercommunication has the outlet pipe that matches with the mating holes, every the outlet pipe is kept away from the one end of vertical pipe and all runs through the housing outlet that mating holes fixedly connected with corresponds downwards, the housing and the housing outlet outside of intaking all are provided with the clamping ring that corresponds. The utility model effectively solves the problems; the volume leads to the fixed not firm emergence of manifold structure to slide scheduling problem because the production of error in the production course of working, simple structure, and is easy and simple to handle, conveniently dismantles and changes the manifold structure.",Water path manifold structure of hydrogen energy automobile electric pile,20211126,['ZHANG BIYONG']
What are the main components of the cable core?,"The cable core includes a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings, and a semi-conductive filling.","Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereofA method for manufacturing ethylene-propylene insulation low-smoke halogen-free torsion-resistant medium-voltage wind energy cable comprises the steps of firstly manufacturing a conductor for later use; the following steps are sequentially as follows: 1) manufacturing a main wire core; 2) manufacturing a ground wire core; 3) stranding a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling into a cable core; 4) and manufacturing a cable core protection structure. This cable structure does: a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling are stranded into a cable core; the cable core is wrapped with a protection structure; the main wire core is formed by sequentially wrapping a first isolating layer, a conductor semi-conductive shielding layer, an insulating layer and an insulating semi-conductive shielding layer outside a main wire core conductor; the ground wire core is formed by wrapping a ground wire core insulating layer outside a ground wire core conductor; in the cable core, semi-conductive filling is arranged at the position of an axis, the main wire core and the ground wire core are symmetrical around the axis, and ethylene propylene filling is arranged between the adjacent main wire cores and the ground wire core; the cable core is wrapped with a second isolation layer; the protective structure is composed of an inner sheath and an outer sheath.",Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereof,20220107,"['ZHU BIN', 'LI BIN', 'LIANG FUCAI', 'LING GUOZHEN', 'YUAN JIE']"
What type of insulation is used on the main wire core?,"The main wire core is formed by sequentially wrapping a first isolating layer, an insulating layer, an insulating semi-conductive shielding layer.","Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereofA method for manufacturing ethylene-propylene insulation low-smoke halogen-free torsion-resistant medium-voltage wind energy cable comprises the steps of firstly manufacturing a conductor for later use; the following steps are sequentially as follows: 1) manufacturing a main wire core; 2) manufacturing a ground wire core; 3) stranding a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling into a cable core; 4) and manufacturing a cable core protection structure. This cable structure does: a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling are stranded into a cable core; the cable core is wrapped with a protection structure; the main wire core is formed by sequentially wrapping a first isolating layer, a conductor semi-conductive shielding layer, an insulating layer and an insulating semi-conductive shielding layer outside a main wire core conductor; the ground wire core is formed by wrapping a ground wire core insulating layer outside a ground wire core conductor; in the cable core, semi-conductive filling is arranged at the position of an axis, the main wire core and the ground wire core are symmetrical around the axis, and ethylene propylene filling is arranged between the adjacent main wire cores and the ground wire core; the cable core is wrapped with a second isolation layer; the protective structure is composed of an inner sheath and an outer sheath.",Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereof,20220107,"['ZHU BIN', 'LI BIN', 'LIANG FUCAI', 'LING GUOZHEN', 'YUAN JIE']"
What is the purpose of the second isolation layer?,"The protective structure is composed of an inner sheath and an outer sheath, with the second isolation layer wrapping around the cable core.","Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereofA method for manufacturing ethylene-propylene insulation low-smoke halogen-free torsion-resistant medium-voltage wind energy cable comprises the steps of firstly manufacturing a conductor for later use; the following steps are sequentially as follows: 1) manufacturing a main wire core; 2) manufacturing a ground wire core; 3) stranding a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling into a cable core; 4) and manufacturing a cable core protection structure. This cable structure does: a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling are stranded into a cable core; the cable core is wrapped with a protection structure; the main wire core is formed by sequentially wrapping a first isolating layer, a conductor semi-conductive shielding layer, an insulating layer and an insulating semi-conductive shielding layer outside a main wire core conductor; the ground wire core is formed by wrapping a ground wire core insulating layer outside a ground wire core conductor; in the cable core, semi-conductive filling is arranged at the position of an axis, the main wire core and the ground wire core are symmetrical around the axis, and ethylene propylene filling is arranged between the adjacent main wire cores and the ground wire core; the cable core is wrapped with a second isolation layer; the protective structure is composed of an inner sheath and an outer sheath.",Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereof,20220107,"['ZHU BIN', 'LI BIN', 'LIANG FUCAI', 'LING GUOZHEN', 'YUAN JIE']"
What are the three key components of the cable core in the insulation low-smoke halogen-free torsion-resistant medium-voltage wind energy cable?,"The three key components of the cable core are: (1) main wire core, (2) ground wire core, and (3) ethylene propylene filling and semi-conductive filling.","Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereofA method for manufacturing ethylene-propylene insulation low-smoke halogen-free torsion-resistant medium-voltage wind energy cable comprises the steps of firstly manufacturing a conductor for later use; the following steps are sequentially as follows: 1) manufacturing a main wire core; 2) manufacturing a ground wire core; 3) stranding a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling into a cable core; 4) and manufacturing a cable core protection structure. This cable structure does: a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling are stranded into a cable core; the cable core is wrapped with a protection structure; the main wire core is formed by sequentially wrapping a first isolating layer, a conductor semi-conductive shielding layer, an insulating layer and an insulating semi-conductive shielding layer outside a main wire core conductor; the ground wire core is formed by wrapping a ground wire core insulating layer outside a ground wire core conductor; in the cable core, semi-conductive filling is arranged at the position of an axis, the main wire core and the ground wire core are symmetrical around the axis, and ethylene propylene filling is arranged between the adjacent main wire cores and the ground wire core; the cable core is wrapped with a second isolation layer; the protective structure is composed of an inner sheath and an outer sheath.",Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereof,20220107,"['ZHU BIN', 'LI BIN', 'LIANG FUCAI', 'LING GUOZHEN', 'YUAN JIE']"
How is the main wire core formed during the manufacturing process?,"The main wire core is formed by sequentially wrapping a first isolating layer, a conductor semi-conductive shielding layer, an insulating layer, and an insulating semi-conductive shielding layer outside a main wire core conductor.","Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereofA method for manufacturing ethylene-propylene insulation low-smoke halogen-free torsion-resistant medium-voltage wind energy cable comprises the steps of firstly manufacturing a conductor for later use; the following steps are sequentially as follows: 1) manufacturing a main wire core; 2) manufacturing a ground wire core; 3) stranding a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling into a cable core; 4) and manufacturing a cable core protection structure. This cable structure does: a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling are stranded into a cable core; the cable core is wrapped with a protection structure; the main wire core is formed by sequentially wrapping a first isolating layer, a conductor semi-conductive shielding layer, an insulating layer and an insulating semi-conductive shielding layer outside a main wire core conductor; the ground wire core is formed by wrapping a ground wire core insulating layer outside a ground wire core conductor; in the cable core, semi-conductive filling is arranged at the position of an axis, the main wire core and the ground wire core are symmetrical around the axis, and ethylene propylene filling is arranged between the adjacent main wire cores and the ground wire core; the cable core is wrapped with a second isolation layer; the protective structure is composed of an inner sheath and an outer sheath.",Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereof,20220107,"['ZHU BIN', 'LI BIN', 'LIANG FUCAI', 'LING GUOZHEN', 'YUAN JIE']"
What is the purpose of the semi-conductive filling in the cable core?,"The semi-conductive filling is arranged at the position of an axis in the cable core, providing electrical conductivity and ensuring symmetry between the main wire core and the ground wire core.","Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereofA method for manufacturing ethylene-propylene insulation low-smoke halogen-free torsion-resistant medium-voltage wind energy cable comprises the steps of firstly manufacturing a conductor for later use; the following steps are sequentially as follows: 1) manufacturing a main wire core; 2) manufacturing a ground wire core; 3) stranding a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling into a cable core; 4) and manufacturing a cable core protection structure. This cable structure does: a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling are stranded into a cable core; the cable core is wrapped with a protection structure; the main wire core is formed by sequentially wrapping a first isolating layer, a conductor semi-conductive shielding layer, an insulating layer and an insulating semi-conductive shielding layer outside a main wire core conductor; the ground wire core is formed by wrapping a ground wire core insulating layer outside a ground wire core conductor; in the cable core, semi-conductive filling is arranged at the position of an axis, the main wire core and the ground wire core are symmetrical around the axis, and ethylene propylene filling is arranged between the adjacent main wire cores and the ground wire core; the cable core is wrapped with a second isolation layer; the protective structure is composed of an inner sheath and an outer sheath.",Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereof,20220107,"['ZHU BIN', 'LI BIN', 'LIANG FUCAI', 'LING GUOZHEN', 'YUAN JIE']"
What is the main goal of the method for manufacturing ethylene-propylene insulation low-smoke halogen-free torsion-resistant medium-voltage wind energy cable?,The main goal of the method is to manufacture a cable structure that meets the requirements of wind energy cable applications.,"Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereofA method for manufacturing ethylene-propylene insulation low-smoke halogen-free torsion-resistant medium-voltage wind energy cable comprises the steps of firstly manufacturing a conductor for later use; the following steps are sequentially as follows: 1) manufacturing a main wire core; 2) manufacturing a ground wire core; 3) stranding a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling into a cable core; 4) and manufacturing a cable core protection structure. This cable structure does: a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling are stranded into a cable core; the cable core is wrapped with a protection structure; the main wire core is formed by sequentially wrapping a first isolating layer, a conductor semi-conductive shielding layer, an insulating layer and an insulating semi-conductive shielding layer outside a main wire core conductor; the ground wire core is formed by wrapping a ground wire core insulating layer outside a ground wire core conductor; in the cable core, semi-conductive filling is arranged at the position of an axis, the main wire core and the ground wire core are symmetrical around the axis, and ethylene propylene filling is arranged between the adjacent main wire cores and the ground wire core; the cable core is wrapped with a second isolation layer; the protective structure is composed of an inner sheath and an outer sheath.",Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereof,20220107,"['ZHU BIN', 'LI BIN', 'LIANG FUCAI', 'LING GUOZHEN', 'YUAN JIE']"
"What is the arrangement of the main wire core, ground wire core, ethylene propylene fillings, and semi-conductive filling in the cable core?","The main wire core and the ground wire core are symmetrical around the axis, with ethylene propylene filling arranged between the adjacent main wire cores and the ground wire core.","Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereofA method for manufacturing ethylene-propylene insulation low-smoke halogen-free torsion-resistant medium-voltage wind energy cable comprises the steps of firstly manufacturing a conductor for later use; the following steps are sequentially as follows: 1) manufacturing a main wire core; 2) manufacturing a ground wire core; 3) stranding a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling into a cable core; 4) and manufacturing a cable core protection structure. This cable structure does: a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling are stranded into a cable core; the cable core is wrapped with a protection structure; the main wire core is formed by sequentially wrapping a first isolating layer, a conductor semi-conductive shielding layer, an insulating layer and an insulating semi-conductive shielding layer outside a main wire core conductor; the ground wire core is formed by wrapping a ground wire core insulating layer outside a ground wire core conductor; in the cable core, semi-conductive filling is arranged at the position of an axis, the main wire core and the ground wire core are symmetrical around the axis, and ethylene propylene filling is arranged between the adjacent main wire cores and the ground wire core; the cable core is wrapped with a second isolation layer; the protective structure is composed of an inner sheath and an outer sheath.",Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereof,20220107,"['ZHU BIN', 'LI BIN', 'LIANG FUCAI', 'LING GUOZHEN', 'YUAN JIE']"
What is the purpose of the protective structure in the manufacturing process?,"The protective structure, composed of an inner sheath and an outer sheath, is used to wrap the cable core and provide additional protection against environmental factors.","Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereofA method for manufacturing ethylene-propylene insulation low-smoke halogen-free torsion-resistant medium-voltage wind energy cable comprises the steps of firstly manufacturing a conductor for later use; the following steps are sequentially as follows: 1) manufacturing a main wire core; 2) manufacturing a ground wire core; 3) stranding a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling into a cable core; 4) and manufacturing a cable core protection structure. This cable structure does: a plurality of main wire cores, a ground wire core, a plurality of ethylene propylene fillings and a semi-conductive filling are stranded into a cable core; the cable core is wrapped with a protection structure; the main wire core is formed by sequentially wrapping a first isolating layer, a conductor semi-conductive shielding layer, an insulating layer and an insulating semi-conductive shielding layer outside a main wire core conductor; the ground wire core is formed by wrapping a ground wire core insulating layer outside a ground wire core conductor; in the cable core, semi-conductive filling is arranged at the position of an axis, the main wire core and the ground wire core are symmetrical around the axis, and ethylene propylene filling is arranged between the adjacent main wire cores and the ground wire core; the cable core is wrapped with a second isolation layer; the protective structure is composed of an inner sheath and an outer sheath.",Ethylene-propylene insulation low-smoke halogen-free medium-voltage torsion-resistant medium-voltage wind energy cable and manufacturing method thereof,20220107,"['ZHU BIN', 'LI BIN', 'LIANG FUCAI', 'LING GUOZHEN', 'YUAN JIE']"
